theme,token,value,source_count,confidence,example_files
rose,card-bg,"#ffffff",0,generated,"default"
rose,card-border,"#e2e8f0",0,generated,"default"
rose,card-shadow,"rgba(0, 0, 0, 0.1)",0,generated,"default"
rose,hero-bg,"#3b82f6",0,generated,"default"
rose,hero-text,"#ffffff",0,generated,"default"
rose,hero-overlay,"rgba(0, 0, 0, 0.5)",0,generated,"default"
rose,badge-bg,"#f1f5f9",0,generated,"default"
rose,badge-text,"#475569",0,generated,"default"
rose,alert-bg,"#fef2f2",0,generated,"default"
rose,alert-text,"#991b1b",0,generated,"default"
rose,alert-border,"#fecaca",0,generated,"default"
rose,success,"#10b981",0,generated,"default"
rose,warning,"#f59e0b",0,generated,"default"
rose,danger,"#dc2626",1,medium,"themes/rose/assets/rose-enhancements.css"
rose,info,"#3b82f6",0,generated,"default"
rose,focus-ring,"#3b82f6",0,generated,"default"
rose,disabled-bg,"#f1f5f9",0,generated,"default"
rose,disabled-text,"#94a3b8",0,generated,"default"
